City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Moron,AR,2022-05-11 21:56:46,-34.6534,-58.6198,60.96,56,100,5.86
159,Inta,RU,2022-05-11 21:56:47,66.0317,60.1659,39.24,82,18,5.46
160,Puerto Escondido,MX,2022-05-11 21:56:48,15.85,-97.0667,88.23,64,97,7.16
161,Alice Springs,AU,2022-05-11 21:56:48,-23.7,133.8833,38.75,81,23,5.75
162,Linqiong,CN,2022-05-11 21:56:49,30.4159,103.4609,67.82,79,100,2.08
163,Kruisfontein,ZA,2022-05-11 21:56:49,-34.0033,24.7314,52.75,87,0,5.61
164,Meulaboh,ID,2022-05-11 21:56:50,4.1363,96.1285,77.04,86,100,4.79
165,Ajaccio,FR,2022-05-11 21:56:50,42.0,8.9167,57.25,77,0,5.75
166,Bulgan,MN,2022-05-11 21:56:51,48.8125,103.5347,28.85,52,33,5.86
167,Faanui,PF,2022-05-11 21:56:52,-16.4833,-151.75,81.63,76,17,16.28
168,Teya,RU,2022-05-11 21:56:52,60.3778,92.6267,30.94,95,43,3.44
169,East London,ZA,2022-05-11 21:56:53,-33.0153,27.9116,61.23,75,5,6.2
170,Uruzgan,AF,2022-05-11 21:56:53,32.8333,66.0,64.96,14,0,1.74
171,Saldanha,ZA,2022-05-11 21:56:54,-33.0117,17.9442,48.25,79,0,5.46
172,Nioro,GM,2022-05-11 21:56:54,13.35,-15.75,80.13,53,54,10.29
173,Mount Isa,AU,2022-05-11 21:56:55,-20.7333,139.5,64.17,82,100,16.11
174,Vysha,RU,2022-05-11 21:56:55,53.8477,42.3777,45.01,99,100,5.14
175,Borovoy,RU,2022-05-11 21:56:56,55.4333,86.0833,47.48,27,0,4.47
176,Mahebourg,MU,2022-05-11 21:56:56,-20.4081,57.7,75.49,88,40,3.44
177,Ribeira Grande,PT,2022-05-11 21:56:57,38.5167,-28.7,59.31,66,87,17.13
178,Chokurdakh,RU,2022-05-11 21:56:58,70.6333,147.9167,19.24,90,100,12.12
179,Alekseyevka,RU,2022-05-11 21:57:58,50.6309,38.6903,47.39,83,100,10.63
180,Dhidhdhoo,MV,2022-05-11 21:57:59,6.8833,73.1,83.89,75,88,13.82
181,Te Anau,NZ,2022-05-11 21:57:59,-45.4167,167.7167,45.77,84,60,0.29
182,Saint-Francois,FR,2022-05-11 21:58:00,46.4154,3.9054,65.64,63,0,5.75
183,Surt,LY,2022-05-11 21:58:01,31.2089,16.5887,64.35,76,67,10.76
184,Shahreza,IR,2022-05-11 21:58:02,32.0339,51.8794,61.38,17,0,5.93
185,Mumford,GH,2022-05-11 21:58:03,5.2618,-0.759,81.48,83,68,9.73
186,Tanete,ID,2022-05-11 21:58:04,-3.9443,119.7848,75.83,96,91,0.96
187,Souillac,MU,2022-05-11 21:58:04,-20.5167,57.5167,75.58,88,40,3.44
188,Whitehorse,CA,2022-05-11 21:53:32,60.7161,-135.0538,46.09,57,75,11.5
189,Emba,KZ,2022-05-11 21:58:05,48.8264,58.1442,50.92,49,52,9.84
190,Marquette,US,2022-05-11 21:58:05,46.5333,-87.6335,73.78,76,100,6.46
191,High Level,CA,2022-05-11 21:58:06,58.5169,-117.136,48.31,53,40,3.44
192,Nemuro,JP,2022-05-11 21:58:06,43.3236,145.575,46.11,99,100,11.32
193,Tabory,RU,2022-05-11 21:58:07,58.5198,64.5495,49.78,93,94,4.5
194,Shaoguan,CN,2022-05-11 21:58:07,24.8,113.5833,68.81,97,100,2.39
195,Beaverlodge,CA,2022-05-11 21:58:08,55.2166,-119.4361,52.95,39,100,5.1
196,San Lorenzo,PY,2022-05-11 21:58:08,-25.3333,-57.5333,68.94,60,40,9.22
197,Voi,KE,2022-05-11 21:58:09,-3.3945,38.563,71.17,84,37,10.2
198,Ilulissat,GL,2022-05-11 21:58:10,69.2167,-51.1,21.81,78,2,8.9
199,Hukuntsi,BW,2022-05-11 21:58:10,-24.0,21.75,63.3,27,8,7.07
200,Santa Maria,BR,2022-05-11 21:58:11,-29.6842,-53.8069,61.9,82,75,3.44
201,Marystown,CA,2022-05-11 21:58:11,47.1666,-55.1483,47.86,100,5,5.99
202,Liverpool,GB,2022-05-11 21:55:26,53.4106,-2.9779,53.82,74,40,11.5
203,Borger,NL,2022-05-11 21:54:55,52.9233,6.7931,57.27,90,80,17.0
204,Petrolina,BR,2022-05-11 21:58:12,-9.3986,-40.5008,82.45,54,20,8.05
205,Luderitz,NA,2022-05-11 21:58:13,-26.6481,15.1594,57.24,68,0,10.78
206,At-Bashi,KG,2022-05-11 21:58:13,41.1702,75.8106,52.23,75,98,4.68
207,Spring Valley,US,2022-05-11 21:57:19,36.108,-115.245,70.95,14,20,25.32
208,Tiarei,PF,2022-05-11 21:58:14,-17.5333,-149.3333,86.02,79,21,17.02
209,Buta,CD,2022-05-11 21:58:15,2.7858,24.73,71.51,99,100,2.46
210,Haines Junction,CA,2022-05-11 21:58:15,60.7522,-137.5108,44.55,45,100,5.75
211,Boat Of Garten,GB,2022-05-11 21:58:16,57.2491,-3.759,45.63,74,31,8.48
212,Dalbandin,PK,2022-05-11 21:58:16,28.8947,64.4101,83.34,12,0,5.91
213,Guerrero Negro,MX,2022-05-11 21:58:17,27.9769,-114.0611,66.34,51,85,26.22
214,Lakes Entrance,AU,2022-05-11 21:58:18,-37.8811,147.981,53.17,93,100,7.56
215,Launceston,AU,2022-05-11 21:58:18,-41.45,147.1667,54.81,94,100,8.05
216,Severo-Kurilsk,RU,2022-05-11 21:58:19,50.6789,156.125,40.57,85,47,4.41
217,Puerto Ayacucho,VE,2022-05-11 21:58:19,5.6639,-67.6236,80.89,85,99,2.98
218,Northam,GB,2022-05-11 21:58:20,51.0333,-4.2167,51.66,92,5,12.73
219,Salalah,OM,2022-05-11 21:58:20,17.0151,54.0924,87.69,27,14,6.96
220,Danville,US,2022-05-11 21:58:21,36.586,-79.395,79.45,36,0,5.99
221,Kuah,MY,2022-05-11 21:58:22,6.3265,99.8432,80.58,89,20,0.0
222,Ninghai,CN,2022-05-11 21:58:22,29.2892,121.4247,62.83,97,100,3.78
223,Flinders,AU,2022-05-11 21:58:23,-34.5833,150.8552,62.38,93,100,1.99
224,Lompoc,US,2022-05-11 21:59:23,34.6391,-120.4579,71.56,58,0,13.0
225,George Town,MY,2022-05-11 21:59:02,5.4112,100.3354,82.33,93,40,3.44
226,Yangambi,CD,2022-05-11 21:59:24,0.8102,24.4336,71.01,96,100,1.99
227,Naze,JP,2022-05-11 21:59:25,28.3667,129.4833,72.52,91,100,9.98
228,Fredericton,CA,2022-05-11 21:55:24,45.9454,-66.6656,76.05,22,0,5.75
229,Dongsheng,CN,2022-05-11 21:59:26,39.8161,109.9776,41.56,56,100,10.51
230,Jandaia Do Sul,BR,2022-05-11 21:59:27,-23.6031,-51.6433,63.25,87,0,4.12
231,Kavaratti,IN,2022-05-11 21:59:27,10.5669,72.642,84.67,67,86,14.94
232,Lorengau,PG,2022-05-11 21:59:28,-2.0226,147.2712,83.95,70,96,8.39
233,Chicama,PE,2022-05-11 21:59:28,-7.8447,-79.1469,63.14,71,15,8.28
234,Miri,MY,2022-05-11 21:59:29,4.4148,114.0089,77.14,100,40,3.44
235,Alyangula,AU,2022-05-11 21:59:30,-13.8483,136.4192,73.27,94,45,3.44
236,Rock Springs,US,2022-05-11 21:59:30,41.5875,-109.2029,69.24,16,9,10.0
237,Ahuimanu,US,2022-05-11 21:59:31,21.4447,-157.8378,81.19,67,75,12.66
