City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Sinop,TR,41.7711,34.8709,60.76,77,1,3.18,clear sky
137,Surt,LY,31.2089,16.5887,67.91,59,3,11.3,clear sky
138,San Giorgio Del Sannio,IT,41.0696,14.8522,73.09,69,2,7.56,clear sky
139,Byron Bay,AU,-28.65,153.6167,69.71,87,99,13.65,overcast clouds
140,Saskylakh,RU,71.9167,114.0833,13.17,96,96,9.24,overcast clouds
141,Lorengau,PG,-2.0226,147.2712,81.16,72,39,8.9,scattered clouds
142,Saint-Augustin,CA,51.226,-58.6502,53.69,34,100,4.52,overcast clouds
143,Kulhudhuffushi,MV,6.6221,73.07,83.75,78,99,20.71,overcast clouds
144,Fairbanks,US,64.8378,-147.7164,38.08,92,75,5.75,broken clouds
145,Kurush,RU,41.2841,47.8345,32.59,90,58,1.86,broken clouds
146,Cangzhou,CN,38.3167,116.8667,56.21,34,98,5.19,overcast clouds
147,Beaupre,CA,47.0443,-70.8953,83.66,59,84,17.13,broken clouds
148,La Paz,BO,-16.5,-68.15,60.78,18,20,11.5,few clouds
149,Djibo,BF,14.1022,-1.6306,108.55,9,2,5.91,clear sky
150,Saint-Leu,RE,-21.15,55.2833,72.43,68,22,9.82,few clouds
151,Yulara,AU,-25.2406,130.9889,66.69,47,100,7.54,overcast clouds
152,Baiyin,CN,36.5583,104.2081,46.35,50,100,9.55,overcast clouds
153,Iqaluit,CA,63.7506,-68.5145,20.7,73,59,8.99,broken clouds
154,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,6.91,scattered clouds
155,Pontes E Lacerda,BR,-15.2261,-59.3353,90.37,42,11,3.89,few clouds
156,Butaritari,KI,3.0707,172.7902,80.67,75,100,11.36,overcast clouds
157,Krasnoselkup,RU,65.7,82.4667,46.8,80,81,4.83,broken clouds
158,Shahr-E Babak,IR,30.1165,55.1186,76.3,7,0,7.45,clear sky
159,Matane,CA,48.8286,-67.522,54.34,83,100,4.43,moderate rain
160,Brussels,BE,50.8504,4.3488,69.78,50,20,11.5,few clouds
161,Strezhevoy,RU,60.7333,77.5889,61.07,49,100,5.08,overcast clouds
162,Chumikan,RU,54.7183,135.315,31.3,99,100,5.14,light snow
163,Carnarvon,AU,-24.8667,113.6333,68.52,59,6,20.22,clear sky
164,Mukhen,RU,48.1,136.1,45.28,66,100,3.18,overcast clouds
165,Shingu,JP,33.7333,135.9833,68.34,97,100,12.71,moderate rain
166,Papetoai,PF,-17.4961,-149.8729,74.79,73,11,18.57,few clouds
167,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,68,67,8.72,broken clouds
168,Pokhara,NP,28.2333,83.9833,74.35,68,97,6.6,overcast clouds
169,Chiche,GT,15.0086,-91.065,72.46,44,1,4.76,clear sky
170,Acajutla,SV,13.5928,-89.8275,88.95,43,22,4.76,few clouds
171,Loikaw,MM,19.6742,97.2094,71.89,82,0,3.56,clear sky
172,Flinders,AU,-34.5833,150.8552,64.18,93,77,1.99,broken clouds
173,New Norfolk,AU,-42.7826,147.0587,53.71,83,82,1.5,light rain
174,Tongliao,CN,43.6125,122.2653,42.69,73,54,14.34,broken clouds
175,Namibe,AO,-15.1961,12.1522,76.32,63,4,8.72,clear sky
176,Effingham,US,32.3669,-81.3332,77.86,74,95,7.27,overcast clouds
177,Wenling,CN,28.3669,121.36,62.08,89,100,12.41,moderate rain
178,Derzhavinsk,KZ,51.1,66.3167,59.49,57,89,9.31,overcast clouds
179,Kahului,US,20.8947,-156.47,73.85,75,20,5.99,few clouds
180,Bilibino,RU,68.0546,166.4372,15.82,92,61,3.58,broken clouds
181,Riyadh,SA,24.6877,46.7219,91.54,11,0,16.31,clear sky
182,Grand Gaube,MU,-20.0064,57.6608,75.6,74,30,1.01,scattered clouds
183,Birsk,RU,55.4211,55.5428,48.16,71,92,0.31,overcast clouds
184,Tiksi,RU,71.6872,128.8694,14.2,90,81,15.84,broken clouds
185,La Fleche,FR,47.6982,-0.0755,76.12,48,72,4.59,broken clouds
